movie_id,keyword_id,keyword_name
8810,325816,forceful
8810,325823,harsh
8810,325839,ominous
8810,325855,urgent
8810,331778,mad max
24804,577,black people
24804,11931,spoof
24804,10601,blaxploitation cinema
24804,179431,duringcreditsstinger
24814,4720,ritual
24814,10235,family relationships
24814,10594,money
24814,10911,inheritance
329802,378,prison
329802,10685,escape
329802,2858,sacrifice
329802,6089,freedom
329802,2428,deportation
329802,187056,woman director
357441,167043,road movie
8814,779,martial arts
8814,1299,monster
8814,3822,teleportation
8814,1721,fight
8814,10761,superhuman
8814,13031,creature
8814,15218,special forces
8814,15248,commando
8814,34136,blunt
8814,41645,based on video game
8814,162482,severed ear
8814,162484,future war
8814,162487,wisecrack humor
8814,219404,action hero
8814,243676,2040s
8814,325780,callous
357424,1862,coming out
357424,5248,female friendship
357424,9825,growing up
357424,158718,lgbt
357424,187056,woman director
357424,236771,growing apart
8821,161891,doppelgänger
45202,596,adultery
45202,1664,eroticism
45202,9714,remake
45202,191009,housemaid
45202,223198,uninvited guest
45202,318482,chaebol
246224,7325,cockroach
246224,11792,incest overtones
246224,161145,ketchup
246224,163561,genetic engineering
246224,175629,alternative reality
183258,212,"london, england"
183258,417,corruption
329805,187056,woman director
329805,311315,dramatic
329806,1938,sword
329806,15108,justice
533109,158718,lgbt
533109,258533,gay theme
8818,549,prostitute
8818,2398,narration
8818,2900,"buenos aires, argentina"
8818,4344,musical
8818,10181,based on play or musical
8818,165707,deification
8818,165716,perónism
8818,165718,argentinean president
8818,165725,rise to power
8818,207883,1940s
8818,208611,1950s
357466,187056,woman director
394855,570,rape
394855,726,drug abuse
