,international,worldwide,domestic,error
tt0491253,1366.0,1366.0,0.0,
tt0802948,1306875.0,1306875.0,0.0,
tt0115649,0.0,0.0,0.0,
tt0081635,0.0,0.0,0.0,
tt0289719,0.0,0.0,0.0,
tt0940592,0.0,0.0,0.0,
tt3821064,0.0,0.0,0.0,
tt1084697,0.0,0.0,0.0,
tt0075852,0.0,0.0,0.0,
tt0105459,0.0,5430822.0,5430822.0,
tt1157668,0.0,13266.0,13266.0,
tt0092732,0.0,0.0,0.0,
tt0076384,0.0,0.0,0.0,
tt0104449,0.0,0.0,0.0,
tt0282410,0.0,0.0,0.0,
tt0106661,0.0,1497222.0,1497222.0,
tt2251798,0.0,0.0,0.0,
tt0397892,195926415.0,309979994.0,114053579.0,
tt0100129,0.0,485772.0,485772.0,
tt2905674,0.0,0.0,0.0,
tt0901507,355345.0,355345.0,0.0,
tt0373944,0.0,0.0,0.0,
tt0070339,0.0,0.0,0.0,
tt0467197,46377537.0,87066930.0,40689393.0,
tt2090595,0.0,0.0,0.0,
tt0106233,0.0,2850263.0,2850263.0,
tt0115819,0.0,0.0,0.0,
tt0115530,0.0,665450.0,665450.0,
tt4513316,0.0,580346.0,580346.0,
tt0098373,0.0,0.0,0.0,
tt1137999,0.0,0.0,0.0,
tt1085469,0.0,0.0,0.0,
tt7125860,5680794.0,20596567.0,14915773.0,
tt1966566,67302507.0,68316452.0,1013945.0,
tt2106533,89145.0,89145.0,0.0,
tt0972544,0.0,0.0,0.0,
tt1124396,11311198.0,11311198.0,0.0,
tt4467626,116023.0,116023.0,0.0,
tt0419843,6509113.0,17562071.0,11052958.0,
tt0889134,20113.0,77410.0,57297.0,
tt0787515,399130.0,451063.0,51933.0,
tt0225843,0.0,0.0,0.0,
tt0100224,0.0,10873237.0,10873237.0,
tt4155534,13285512.0,13285512.0,0.0,
tt1935897,8481255.0,8481997.0,742.0,
tt0070643,0.0,0.0,0.0,
tt0455538,16373257.0,19152009.0,2778752.0,
tt0100442,0.0,11207891.0,11207891.0,
tt0088242,0.0,27774237.0,27774237.0,
tt0862846,4517692.0,16580250.0,12062558.0,
tt0260036,9475.0,9475.0,0.0,
tt0068245,0.0,0.0,0.0,
tt0419634,0.0,0.0,0.0,
tt0420356,0.0,13931.0,13931.0,
tt0487920,0.0,0.0,0.0,
tt0118838,0.0,0.0,0.0,
tt0119436,0.0,0.0,0.0,
tt0075930,0.0,0.0,0.0,
tt1783422,1626640.0,1649260.0,22620.0,
tt0926063,0.0,0.0,0.0,
tt0082220,23360.0,1752634.0,1729274.0,
tt0796302,0.0,44852.0,44852.0,
tt0816442,55097835.0,76586316.0,21488481.0,
tt0110687,0.0,7182747.0,7182747.0,
tt2300975,6998359.0,6998359.0,0.0,
tt0099155,0.0,1292323.0,1292323.0,
tt0070300,0.0,0.0,0.0,
tt1522857,0.0,42273.0,42273.0,
tt0259484,25664.0,3116526.0,3090862.0,
tt3701160,0.0,0.0,0.0,
tt5332280,0.0,0.0,0.0,
tt0425210,33813415.0,56308881.0,22495466.0,
tt3838034,2385151.0,2385151.0,0.0,
tt0361715,124723.0,994790.0,870067.0,
tt0401792,84630000.0,158733820.0,74103820.0,
tt1261397,27563.0,27563.0,0.0,
tt2027064,0.0,93995.0,93995.0,
tt0425055,0.0,129664.0,129664.0,
tt0088111,0.0,0.0,0.0,
tt0066921,346850.0,27033812.0,26617553.0,
tt0111621,0.0,0.0,0.0,
tt2007360,25811.0,127852.0,102041.0,
tt0094384,0.0,0.0,0.0,
tt0792947,1648317.0,1648317.0,0.0,
tt0458481,25649812.0,39407616.0,13757804.0,
tt0119396,2130.0,39693845.0,39673162.0,
tt0121262,0.0,0.0,0.0,
tt5333110,222482.0,222482.0,0.0,
tt0121261,0.0,0.0,0.0,
tt0379754,0.0,0.0,0.0,
tt3171340,0.0,0.0,0.0,
tt0374764,2624792.0,2624792.0,0.0,
tt0074312,0.0,8148.0,8144.0,
tt4115932,52265070.0,52265070.0,0.0,
tt0367151,0.0,0.0,0.0,
tt0943982,0.0,0.0,0.0,
tt0995740,797693.0,797693.0,0.0,
tt2012665,5349.0,1194961.0,1189612.0,
tt1572315,12998641.0,47340586.0,34341945.0,
tt0292707,0.0,0.0,0.0,
tt0098471,0.0,40586886.0,40586886.0,
tt0114928,0.0,3734870.0,3734870.0,
tt0814131,16720.0,16720.0,0.0,
tt0207340,0.0,0.0,0.0,
tt0468771,734141.0,734141.0,0.0,
tt0097885,0.0,85085.0,85085.0,
tt0113997,0.0,0.0,0.0,
tt0085970,0.0,64783827.0,64783827.0,
tt2461126,0.0,0.0,0.0,
tt0073240,0.0,0.0,0.0,
tt0108661,0.0,0.0,0.0,
tt5625068,0.0,0.0,0.0,
tt0070287,0.0,0.0,0.0,
tt0989000,1121571.0,1294176.0,172605.0,
tt0090130,0.0,9023199.0,9023199.0,
tt0068727,0.0,0.0,0.0,
tt1029120,87285.0,1923800.0,1836515.0,
tt0085320,0.0,200498.0,200498.0,
tt0075230,0.0,0.0,0.0,
tt1242521,1140744.0,1140744.0,0.0,
tt0096011,0.0,0.0,0.0,
tt2582782,10991831.0,37999675.0,27007844.0,
tt0206334,0.0,0.0,0.0,
tt0104503,0.0,256249.0,256249.0,
tt0080754,0.0,8894289.0,8894289.0,
tt0936468,0.0,0.0,0.0,
tt0098051,0.0,10647219.0,10647219.0,
tt0162711,0.0,295683.0,295683.0,
tt0089691,0.0,0.0,0.0,
tt2948782,0.0,0.0,0.0,
tt0070245,0.0,0.0,0.0,
tt4032450,375633.0,376522.0,889.0,
tt1667130,72152.0,72152.0,0.0,
tt0131396,0.0,0.0,0.0,
tt0924165,95576.0,95576.0,0.0,
tt4778500,160697.0,160697.0,0.0,
tt1756616,26512.0,26512.0,0.0,
tt0067126,0.0,0.0,0.0,
tt0822389,6662831.0,6732176.0,69220.0,
tt0101337,0.0,0.0,0.0,
tt0071696,0.0,0.0,0.0,
tt3816458,0.0,0.0,0.0,
tt0482572,15459836.0,31200557.0,15740721.0,
tt1235841,1005739.0,1008116.0,2377.0,
tt0115710,0.0,1094668.0,1094668.0,
tt0083310,0.0,0.0,0.0,
tt0107096,0.0,5864949.0,5864949.0,
tt0406977,374455.0,683021.0,308566.0,
tt0118980,0.0,43961.0,43961.0,
tt0069331,0.0,0.0,0.0,
tt1532513,0.0,0.0,0.0,
tt0369994,181479.0,2254124.0,2072645.0,
tt0078856,0.0,0.0,0.0,
