movie_id,title,url_wiki,lang.,revenue,revenue_wiki,revenue_mojo,ratio,revenue_delta,revenue_delta_2,revenue_synthetic,budget,budget_wiki,budget_delta,budget_synthetic,synthetic_ratio,revenue_fix,budget_fix,Status,reason
369779,La Tour 2 contrôle infernale,https://en.wikipedia.org/wiki/La_Tour_2_contr%C3%B4le_infernale,fr,0,2400000,2351182,0,0,1,2351182,0,14200000,-1,14200000,0,,,,
83382,Players,https://en.wikipedia.org/wiki/Players_(2012_film),hi,0,15146925,536945,0,1,1,536945,0,14137130,-1,14137130,0,,,,
214081,A Promise,https://en.wikipedia.org/wiki/A_Promise_(2013_film),en,0,1500000,491204,0,1,1,491204,0,14069264,-1,14069264,0,,,,
15173,Jonah: A VeggieTales Movie,https://en.wikipedia.org/wiki/Jonah:_A_VeggieTales_Movie,en,0,25600000,25621297,0,0,1,25621297,0,14000000,-1,14000000,2,,,,
10741,Bobby,https://en.wikipedia.org/wiki/Bobby_(2006_film),en,0,20700000,20718608,0,0,1,20718608,0,14000000,-1,14000000,1,,,,
34152,Crooklyn,https://en.wikipedia.org/wiki/Crooklyn,en,0,13642861,13642861,0,0,1,13642861,14000000,14000000,0,14000000,1,,,Keep,
56120,Late for Dinner,https://en.wikipedia.org/wiki/Late_for_Dinner,en,0,8906823,8906823,0,0,1,8906823,0,14000000,-1,14000000,1,,,,
38982,Fresh Horses,https://en.wikipedia.org/wiki/Fresh_Horses_(film),en,0,6600000,6640346,0,0,1,6640346,0,14000000,-1,14000000,0,,,,
59585,Immediate Family,https://en.wikipedia.org/wiki/Immediate_Family_(film),en,0,5932613,5932613,0,0,1,5932613,0,14000000,-1,14000000,0,,,,
16005,The Lucky Ones,https://en.wikipedia.org/wiki/The_Lucky_Ones_(film),en,0,266967,287567,0,0,1,287567,0,14000000,-1,14000000,0,,,,
438348,Knock,https://en.wikipedia.org/wiki/Knock_(2017_film),fr,0,5400000,5394474,0,0,1,5394474,0,13800000,-1,13800000,0,,,,
42045,Sweet Dreams,https://en.wikipedia.org/wiki/Sweet_Dreams_(1985_film),en,0,9100000,9085049,0,0,1,9085049,0,13500000,-1,13500000,1,,,,
2038,Iron Eagle III,https://en.wikipedia.org/wiki/Aces:_Iron_Eagle_III,en,0,2500000,2517600,0,0,1,2517600,0,13500000,-1,13500000,0,,,,
79008,Jinxed!,https://en.wikipedia.org/wiki/Jinxed!_(1982_film),en,0,2869638,2869638,0,0,1,2869638,0,13400000,-1,13400000,0,,,,
56623,Ao: The Last Hunter,https://en.wikipedia.org/wiki/Ao:_The_Last_Hunter,fr,0,1700000,1669603,0,0,1,1669603,0,13400000,-1,13400000,0,,,,
496320,Race 3,https://en.wikipedia.org/wiki/Race_3,hi,0,22132945,29969693,0,0,1,29969693,0,13148284,-1,13148284,2,,,,
15250,This Christmas,https://en.wikipedia.org/wiki/This_Christmas_(2007_film),en,0,49800000,49778552,0,0,1,49778552,13000000,13000000,0,13000000,4,,,Keep,
14577,Dirty Work,https://en.wikipedia.org/wiki/Dirty_Work_(1998_film),en,0,10000000,10023282,0,0,1,10023282,13000000,13000000,0,13000000,1,,,Keep,
18300,Jet Lag,https://en.wikipedia.org/wiki/Jet_Lag_(film),fr,0,8000000,8233189,0,0,1,8233189,0,13000000,-1,13000000,1,,,,
48249,Tempest,https://en.wikipedia.org/wiki/Tempest_(1982_film),en,0,5005245,5005245,0,0,1,5005245,13000000,13000000,0,13000000,0,,,Keep,
42010,Made in Heaven,https://en.wikipedia.org/wiki/Made_in_Heaven_(1987_film),en,0,4573000,4572845,0,0,1,4572845,0,13000000,-1,13000000,0,,,,
6524,Life Stinks,https://en.wikipedia.org/wiki/Life_Stinks,en,0,4099999,4102526,0,0,1,4102526,0,13000000,-1,13000000,0,,,,
36709,Map of the Human Heart,https://en.wikipedia.org/wiki/Map_of_the_Human_Heart,en,0,5000000,2807843,0,0,1,2807843,0,13000000,-1,13000000,0,,,,
76609,Rebellion,https://en.wikipedia.org/wiki/Rebellion_(2011_film),fr,0,2300000,1140744,0,1,1,1140744,0,13000000,-1,13000000,0,,,,
55699,The Experts,https://en.wikipedia.org/wiki/The_Experts_(1989_film),en,0,169203,169203,0,0,1,169203,0,13000000,-1,13000000,0,,,,
31600,Target,https://en.wikipedia.org/wiki/Target_(1985_film),en,0,9023199,9023199,0,0,1,9023199,0,12900000,-1,12900000,1,,,,
579245,The Specials,https://en.wikipedia.org/wiki/The_Specials_(2019_film),fr,0,19400000,19387647,0,0,1,19387647,0,12800000,-1,12800000,2,,,,
78476,My Worst Nightmare,https://en.wikipedia.org/wiki/My_Worst_Nightmare,fr,0,8199999,8226544,0,0,1,8226544,0,12800000,-1,12800000,1,,,,
11604,Anthony Zimmer,https://en.wikipedia.org/wiki/Anthony_Zimmer,fr,0,6300000,6306533,0,0,1,6306533,0,12800000,-1,12800000,0,,,,
333549,Among Friends,https://en.wikipedia.org/wiki/Entre_amis,fr,0,9300000,4469267,0,1,1,4469267,0,12600000,-1,12600000,0,,,,
79990,Desi Boyz,https://en.wikipedia.org/wiki/Desi_Boyz,hi,0,14770765,2355293,0,1,1,2355293,0,12468827,-1,12468827,0,,,,
33521,Dracula,https://en.wikipedia.org/wiki/Dracula_(1979_film),en,0,31200000,20158970,0,0,1,20158970,0,12200000,-1,12200000,2,,,,
426830,Family Heist,https://en.wikipedia.org/wiki/Mes_tr%C3%A9sors,fr,0,1800000,1764140,0,0,1,1764140,0,12200000,-1,12200000,0,,,,
79733,Vysotsky: Thank God I'm Alive,https://en.wikipedia.org/wiki/Vysotsky._Thank_You_For_Being_Alive,ru,0,27400000,31016553,0,0,1,31016553,12000000,12000000,0,12000000,3,,,Keep,
10168,The Freshman,https://en.wikipedia.org/wiki/The_Freshman_(1990_film),en,0,21500000,21460601,0,0,1,21460601,0,12000000,-1,12000000,2,,,,
41963,Masquerade,https://en.wikipedia.org/wiki/Masquerade_(1988_film),en,0,15800000,15855828,0,0,1,15855828,0,12000000,-1,12000000,1,,,,
26477,Back to the Beach,https://en.wikipedia.org/wiki/Back_to_the_Beach,en,0,13100000,13110903,0,0,1,13110903,0,12000000,-1,12000000,1,,,,
15437,Crime Is Our Business,https://en.wikipedia.org/wiki/Crime_Is_Our_Business,fr,0,9900000,9866501,0,0,1,9866501,12000000,14000000,0,12000000,1,,,,
107569,Memories of Me,https://en.wikipedia.org/wiki/Memories_of_Me,en,0,3965604,3965604,0,0,1,3965604,0,12000000,-1,12000000,0,,,,
10531,Death and the Maiden,https://en.wikipedia.org/wiki/Death_and_the_Maiden_(film),en,0,8000000,3103716,0,1,1,3103716,0,12000000,-1,12000000,0,,,,
96333,Weeds,https://en.wikipedia.org/wiki/Weeds_(1987_film),en,0,2325444,2325444,0,0,1,2325444,0,12000000,-1,12000000,0,,,,
34308,Modigliani,https://en.wikipedia.org/wiki/Modigliani_(film),en,0,837260,1547008,0,1,1,1547008,12000000,0,-1,12000000,0,,,,
56179,Triumph of the Spirit,https://en.wikipedia.org/wiki/Triumph_of_the_Spirit,en,0,408839,408839,0,0,1,408839,0,12000000,-1,12000000,0,,,,
5070,How Much Do You Love Me?,https://en.wikipedia.org/wiki/How_Much_Do_You_Love_Me%3F,fr,0,6800000,6771085,0,0,1,6771085,0,11988970,-1,11988970,1,,,,
369780,"Josephine, Pregnant & Fabulous","https://en.wikipedia.org/wiki/Jos%C3%A9phine,_Pregnant_%26_Fabulous",fr,0,5800000,5777198,0,0,1,5777198,0,11600000,-1,11600000,0,,,,
14644,Boudu,https://en.wikipedia.org/wiki/Boudu,fr,0,9000000,8568040,0,0,1,8568040,0,11500000,-1,11500000,1,,,,
35221,Father of Invention,https://en.wikipedia.org/wiki/Father_of_Invention,en,0,97778,97778,0,0,1,97778,0,11500000,-1,11500000,0,,,,
