movie_id,imdb_id,original_language,original_title,release_date,runtime,revenue_dom,revenue_int,revenue_world,revenue_open,budget_usd_adj,ageCert,metacritic_link,metascore,rating_count_imdb,rating_value_imdb,rating_value_tmdb,rating_count_tmdb
243,tt0146882,en,High Fidelity,2000-03-17 00:00:00+00:00,113,27287137.0,19839158.0,47126295,6429107.0,30000000,12,https://www.metacritic.com/movie/high-fidelity?ftag=MCD-06-10aaa1c,79.0,167019.0,7.5,7.2,1275.0
36593,tt0110622,en,Naked Gun 33⅓: The Final Insult,1994-03-18 00:00:00+00:00,83,51132598.0,,51132598,13216531.0,30000000,12,https://www.metacritic.com/movie/naked-gun-33-13-the-final-insult?ftag=MCD-06-10aaa1c,63.0,96419.0,6.5,6.5,1275.0
4476,tt0110322,en,Legends of the Fall,1994-12-16 00:00:00+00:00,133,66638883.0,94000000.0,160638883,101670.0,30000000,12,https://www.metacritic.com/movie/legends-of-the-fall?ftag=MCD-06-10aaa1c,45.0,147412.0,7.6,7.4,1531.0
503314,tt7961060,ja,ドラゴンボール超スーパー ブロリー,2018-12-14 00:00:00+00:00,101,30712119.0,84848491.0,115560610,9816197.0,8500000,12,https://www.metacritic.com/movie/dragon-ball-super-broly?ftag=MCD-06-10aaa1c,59.0,22001.0,7.9,7.7,1659.0
282984,tt3715320,en,Irrational Man,2015-07-17 00:00:00+00:00,95,4030360.0,23360724.0,27391084,175312.0,11000000,12,https://www.metacritic.com/movie/irrational-man?ftag=MCD-06-10aaa1c,53.0,58085.0,6.6,6.5,1787.0
40807,tt1306980,en,50/50,2011-09-30 00:00:00+00:00,100,35014192.0,6083661.0,41097853,8644095.0,8000000,12,https://www.metacritic.com/movie/5050?ftag=MCD-06-10aaa1c,72.0,313894.0,7.6,7.1,2678.0
1979,tt0486576,en,Fantastic Four: Rise of the Silver Surfer,2007-06-13 00:00:00+00:00,92,131921738.0,169991393.0,301913131,58051684.0,130000000,12,https://www.metacritic.com/movie/fantastic-four-rise-of-the-silver-surfer?ftag=MCD-06-10aaa1c,45.0,249397.0,5.6,5.6,5868.0
256591,tt2381941,en,Focus,2015-02-25 00:00:00+00:00,105,53862963.0,104900000.0,158762963,18685137.0,50100000,12,https://www.metacritic.com/movie/focus-2015?ftag=MCD-06-10aaa1c,56.0,215683.0,6.6,6.9,5613.0
582,tt0405094,de,Das Leben der Anderen,2006-03-15 00:00:00+00:00,137,11286112.0,66070830.0,77356942,223000.0,2000000,12,https://www.metacritic.com/movie/the-lives-of-others?ftag=MCD-06-10aaa1c,89.0,354695.0,8.4,8.1,2295.0
11665,tt0425061,en,Get Smart,2008-06-19 00:00:00+00:00,110,130319208.0,100366245.0,230685453,38683480.0,80000000,12,https://www.metacritic.com/movie/get-smart?ftag=MCD-06-10aaa1c,54.0,202662.0,6.5,6.2,2423.0
47933,tt1628841,en,Independence Day: Resurgence,2016-06-22 00:00:00+00:00,120,103144286.0,286537649.0,389681935,41039944.0,165000000,12,https://www.metacritic.com/movie/independence-day-resurgence?ftag=MCD-06-10aaa1c,32.0,165520.0,5.2,5.2,4590.0
9839,tt0294357,en,Beyond Borders,2003-10-23 00:00:00+00:00,127,4430101.0,7274901.0,11705002,2076402.0,35000000,12,https://www.metacritic.com/movie/beyond-borders?ftag=MCD-06-10aaa1c,32.0,26049.0,6.5,6.6,271.0
