url,tmdb_id,budget_original_string,budget_currency,budget_min,budget_max,budget_avg,budget_error,box_office_original_string,box_office_currency,box office_min,box_office_max,box_office_avg,box_office_error,external_links,error
https://en.wikipedia.org/wiki/The_Wounded_Man_(film),2304,$2.3 million[1],USD,2300000.0,2300000.0,2300000.0,,,,,,,,"{'IMDb': 'https://www.imdb.com/title/tt0084085/', 'AllMovie': 'https://www.allmovie.com/movie/v27813'}",
https://en.wikipedia.org/wiki/Arlington_Road,1073,$31 million,USD,31000000.0,31000000.0,31000000.0,,$41.1 million,USD,41100000.0,41100000.0,41100000.0,,"{'IMDb': 'https://www.imdb.com/title/tt0137363/', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=arlingtonroad.htm', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/arlington_road'}",
https://en.wikipedia.org/wiki/Life_of_Crime_(film),209189,$12 million[3],USD,12000000.0,12000000.0,12000000.0,,$1.5 million[4],USD,1500000.0,1500000.0,1500000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1663207/', 'Metacritic': 'https://www.metacritic.com/movie/life-of-crime', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/life_of_crime_2013'}",
https://en.wikipedia.org/wiki/A_Moment_to_Remember,15859,,,,,,,US$20.9 million[1],USD,20900000.0,20900000.0,20900000.0,,"{'Official website': 'https://web.archive.org/web/20090203160910/http://jeewoogae.co.kr:80/', 'IMDb': 'https://www.imdb.com/title/tt0428870/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/nae_meorisokui_jiwoogae_a_moment_to_remember', 'HanCinema': 'https://www.hancinema.net/korean_movie_A_Moment_to_Remember.php'}",
https://en.wikipedia.org/wiki/Uzak,31026,,,,,,,"$766,669",USD,766669.0,766669.0,766669.0,,"{'IMDb': 'https://www.imdb.com/title/tt0346094/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/distant', 'Box Office Mojo': 'https://www.boxofficemojo.com/movies/?id=distant.htm', 'Blogcritics': 'https://web.archive.org/web/20071022225012/http://blogcritics.org/archives/2007/04/29/100104.php', 'Uzak: A film review': 'https://web.archive.org/web/20100129063924/http://culturazzi.org/review/cinema/uzak-nuri-bilge-ceylan'}",
https://en.wikipedia.org/wiki/Rituals_(film),67822,"CA$600,000",CAD,600000.0,600000.0,600000.0,,,,,,,,"{'AllMovie': 'https://www.allmovie.com/movie/v41525', 'IMDb': 'https://www.imdb.com/title/tt0076630/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/rituals', 'TCM Movie Database': 'https://www.tcm.com/tcmdb/title/21351/enwp', 'Internet Archive': 'https://archive.org/details/Rituals1977'}",
https://en.wikipedia.org/wiki/The_Fan_(1996_film),9566,$55 million[2],USD,55000000.0,55000000.0,55000000.0,,$42 million[3],USD,42000000.0,42000000.0,42000000.0,,{'IMDb': 'https://www.imdb.com/title/tt0116277/'},
https://en.wikipedia.org/wiki/The_Prey_(2011_film),59118,$10.4 million[2],USD,10400000.0,10400000.0,10400000.0,,$3.1 million[3],USD,3100000.0,3100000.0,3100000.0,,"{'IMDb': 'https://www.imdb.com/title/tt1726861/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/la_proie_2013', 'Metacritic': 'https://www.metacritic.com/movie/the-prey', 'Official website': 'http://cohenmedia.net/Details.aspx?id=9109d7a4-0409-e311-9060-d4ae527c3b65'}",
https://en.wikipedia.org/wiki/The_Proposition_(1998_film),32144,,,,,,,"$147,773",USD,147773.0,147773.0,147773.0,,"{'IMDb': 'https://www.imdb.com/title/tt0120108/', 'Rotten Tomatoes': 'https://www.rottentomatoes.com/m/1082460-proposition'}",
https://en.wikipedia.org/wiki/D%C3%A9j%C3%A0_Vu_(1997_film),161795,,,,,,,"$1,086,181[1]",USD,1086181.0,1086181.0,1086181.0,,{'IMDb': 'https://www.imdb.com/title/tt0119033/'},
